Tên nhà hàng,Tên món,Giá,Hình ảnh món ăn
La Salsa - Món Âu - Xuân Diệu,Mixed Pork rib & Seafood,460.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr6p2lp3lh2163@resize_ss120x120!@crop_w120_h120_cT
La Salsa - Món Âu - Xuân Diệu,Black Squid ink & seafood Paella,460.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr6p2m8ivv0k04@resize_ss120x120!@crop_w120_h120_cT
La Salsa - Món Âu - Xuân Diệu,Green Salad,240.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqzkmcm7sgbdb0@resize_ss120x120!@crop_w120_h120_cT
La Salsa - Món Âu - Xuân Diệu,Fresh salmon and mango Salad,360.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr6mm0zxvd1g83@resize_ss120x120!@crop_w120_h120_cT
La Salsa - Món Âu - Xuân Diệu,La Salsa Salad,280.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqzhac20epj8a7@resize_ss120x120!@crop_w120_h120_cT
La Salsa - Món Âu - Xuân Diệu,Whole Wheat Bread,80.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr32asnqklok40@resize_ss120x120!@crop_w120_h120_cT
La Salsa - Món Âu - Xuân Diệu,Garlic Bread,70.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxrk7h7pnyx1e@resize_ss120x120!@crop_w120_h120_cT
La Salsa - Món Âu - Xuân Diệu,High Fibre Bread,80.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr5t40qi5nkp02@resize_ss120x120!@crop_w120_h120_cT
La Salsa - Món Âu - Xuân Diệu,Raisin Bread,70.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr5ofm126zrt96@resize_ss120x120!@crop_w120_h120_cT
Nem Chua Rán 36 Tạm Thương - Nguyễn Văn Giáp,Trà Chanh (Cốc),12.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr3nbq7q5bq1e0@resize_ss120x120!@crop_w120_h120_cT
Nem Chua Rán 36 Tạm Thương - Nguyễn Văn Giáp,Me Đá,18.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyzca8reffdcd@resize_ss120x120!@crop_w120_h120_cT
Nem Chua Rán 36 Tạm Thương - Nguyễn Văn Giáp,Cocacola (chai),12.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyzcatkldp562@resize_ss120x120!@crop_w120_h120_cT
Nem Chua Rán 36 Tạm Thương - Nguyễn Văn Giáp,Xoài Xanh,20.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr6d2ay1sr0k0f@resize_ss120x120!@crop_w120_h120_cT
Nem Chua Rán 36 Tạm Thương - Nguyễn Văn Giáp,Củ Đậu,20.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr3nbl1jpryc5f@resize_ss120x120!@crop_w120_h120_cT
Nem Chua Rán 36 Tạm Thương - Nguyễn Văn Giáp,Combo Mẹt Nem Khổng Lồ,730.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyzdetc122sd4@resize_ss120x120!@crop_w120_h120_cT
Nem Chua Rán 36 Tạm Thương - Nguyễn Văn Giáp,10 Nem Chua Rán,60.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqywggt8ofix99@resize_ss120x120!@crop_w120_h120_cT
Nem Chua Rán 36 Tạm Thương - Nguyễn Văn Giáp,Phô Mai Que (Que),8.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqywghwn2rwkfa@resize_ss120x120!@crop_w120_h120_cT
Nem Chua Rán 36 Tạm Thương - Nguyễn Văn Giáp,Nem nhân pho mai,9.000đ,https://mms.img.susercontent.com/vn-11134517-7ras8-m49x27wd4syod0@resize_ss120x120!@crop_w120_h120_cT
Nem Chua Rán 36 Tạm Thương - Nguyễn Văn Giáp,Nem Tẩm Bột (10 Chiếc),65.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr6d2ac4q8ck3e@resize_ss120x120!@crop_w120_h120_cT
Isushi Nguyễn Chí Thanh - Nhà Hàng Buffet Nhật Bản,Sushi mix Nana (2-3 người),388.800đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyku2kqfr1555@resize_ss120x120!@crop_w120_h120_cT
Isushi Nguyễn Chí Thanh - Nhà Hàng Buffet Nhật Bản,Sushi mix Roku (2-3 người),496.800đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyjmtxsdyo49a@resize_ss120x120!@crop_w120_h120_cT
Isushi Nguyễn Chí Thanh - Nhà Hàng Buffet Nhật Bản,Sushi mix Hachi (2-3 người),270.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyk81pop1ok12@resize_ss120x120!@crop_w120_h120_cT
Isushi Nguyễn Chí Thanh - Nhà Hàng Buffet Nhật Bản,Sushi mix Kyuu (2-3 người),237.600đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyjwsedtndled@resize_ss120x120!@crop_w120_h120_cT
Isushi Nguyễn Chí Thanh - Nhà Hàng Buffet Nhật Bản,Sushi Mix Juu (3-4 người),1.058.400đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqykmymozdtwca@resize_ss120x120!@crop_w120_h120_cT
Isushi Nguyễn Chí Thanh - Nhà Hàng Buffet Nhật Bản,Set mix Juusan (3-4 người),2.050.920đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyhzdwg2mxl7a@resize_ss120x120!@crop_w120_h120_cT
Isushi Nguyễn Chí Thanh - Nhà Hàng Buffet Nhật Bản,Set mix Juugo (3-4 người),1.501.200đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyjmvu1m2s97b@resize_ss120x120!@crop_w120_h120_cT
Isushi Nguyễn Chí Thanh - Nhà Hàng Buffet Nhật Bản,Set mix Juuni (2-3 người),1.058.400đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyjwu3frrtlbb@resize_ss120x120!@crop_w120_h120_cT
Isushi Nguyễn Chí Thanh - Nhà Hàng Buffet Nhật Bản,Set mix Juuichi (2-3 người),1.188.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyku4kvxms944@resize_ss120x120!@crop_w120_h120_cT
Isushi Nguyễn Chí Thanh - Nhà Hàng Buffet Nhật Bản,Set mix Juuyon (3-4 người),1.296.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyjmv7uik786b@resize_ss120x120!@crop_w120_h120_cT
Isushi Triệu Việt Vương - Nhà Hàng Buffet Nhật Bản,Sushi mix Hachi (2-3 người),270.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyk81pop1ok12@resize_ss120x120!@crop_w120_h120_cT
Isushi Triệu Việt Vương - Nhà Hàng Buffet Nhật Bản,Sushi mix Roku (2-3 người),496.800đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyjmtxsdyo49a@resize_ss120x120!@crop_w120_h120_cT
Isushi Triệu Việt Vương - Nhà Hàng Buffet Nhật Bản,Sushi mix Nana (2-3 người),388.800đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyku2kqfr1555@resize_ss120x120!@crop_w120_h120_cT
Isushi Triệu Việt Vương - Nhà Hàng Buffet Nhật Bản,Sushi mix Kyuu (2-3 người),237.600đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyjwsedtndled@resize_ss120x120!@crop_w120_h120_cT
Isushi Triệu Việt Vương - Nhà Hàng Buffet Nhật Bản,Sushi Mix Juu (3-4 người),1.058.400đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqykmymozdtwca@resize_ss120x120!@crop_w120_h120_cT
Isushi Triệu Việt Vương - Nhà Hàng Buffet Nhật Bản,Set mix Juuni (2-3 người),1.058.400đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyjwu3frrtlbb@resize_ss120x120!@crop_w120_h120_cT
Isushi Triệu Việt Vương - Nhà Hàng Buffet Nhật Bản,Set mix Juuichi (2-3 người),1.188.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyku4kvxms944@resize_ss120x120!@crop_w120_h120_cT
Isushi Triệu Việt Vương - Nhà Hàng Buffet Nhật Bản,Set mix Juuyon (3-4 người),1.296.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyjmv7uik786b@resize_ss120x120!@crop_w120_h120_cT
Isushi Triệu Việt Vương - Nhà Hàng Buffet Nhật Bản,Set mix Juusan (3-4 người),2.050.920đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyhzdwg2mxl7a@resize_ss120x120!@crop_w120_h120_cT
Isushi Triệu Việt Vương - Nhà Hàng Buffet Nhật Bản,Set mix Juugo (3-4 người),1.501.200đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqyjmvu1m2s97b@resize_ss120x120!@crop_w120_h120_cT
Isushi Thái Hà - Nhà Hàng Buffet Nhật Bản,Sashimi cá hồi,226.800đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr39fvr8uvtle2@resize_ss120x120!@crop_w120_h120_cT
Isushi Thái Hà - Nhà Hàng Buffet Nhật Bản,Set sashimi tổng hợp,355.320đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr38yclygql5c2@resize_ss120x120!@crop_w120_h120_cT
Isushi Thái Hà - Nhà Hàng Buffet Nhật Bản,Premium Sashimi Set,484.920đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr38yc6f3h5l0f@resize_ss120x120!@crop_w120_h120_cT
Isushi Thái Hà - Nhà Hàng Buffet Nhật Bản,Sashimi cá hồi tartate,48.600đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr39r6nff1l004@resize_ss120x120!@crop_w120_h120_cT
Isushi Thái Hà - Nhà Hàng Buffet Nhật Bản,Sashimi cá trích trứng đỏ,171.720đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr39wi0bdzmha6@resize_ss120x120!@crop_w120_h120_cT
Isushi Thái Hà - Nhà Hàng Buffet Nhật Bản,Sashimi cá trích trứng vàng,171.720đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqy3tkr1oouc60@resize_ss120x120!@crop_w120_h120_cT
Isushi Thái Hà - Nhà Hàng Buffet Nhật Bản,Sashimi cá Kampachi,214.920đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr38x7myf82h2e@resize_ss120x120!@crop_w120_h120_cT
Isushi Thái Hà - Nhà Hàng Buffet Nhật Bản,Sashimi bạch tuộc,128.520đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqy3tk5ekcyhbf@resize_ss120x120!@crop_w120_h120_cT
Isushi Thái Hà - Nhà Hàng Buffet Nhật Bản,Sashimi tôm,171.720đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqy4up3s3dtw68@resize_ss120x120!@crop_w120_h120_cT
Isushi Thái Hà - Nhà Hàng Buffet Nhật Bản,Sashimi cá vược,129.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr38x87hl6f8ef@resize_ss120x120!@crop_w120_h120_cT
Sariwon - Lẩu Nướng Hàn Quốc - BigC Thăng Long,Miến Trộn Hàn Quốc,88.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxg2j1t0m2s97@resize_ss120x120!@crop_w120_h120_cT
Sariwon - Lẩu Nướng Hàn Quốc - BigC Thăng Long,Cơm Rang Kim Chi,88.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr2x0jqp4tqxd6@resize_ss120x120!@crop_w120_h120_cT
Sariwon - Lẩu Nướng Hàn Quốc - BigC Thăng Long,Cơm Cuộn Hỗn Hợp,68.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr2x0j8dvmhl82@resize_ss120x120!@crop_w120_h120_cT
Sariwon - Lẩu Nướng Hàn Quốc - BigC Thăng Long,Cơm Gà Xào Phô Mai,98.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr2wug4wi01w4f@resize_ss120x120!@crop_w120_h120_cT
Sariwon - Lẩu Nướng Hàn Quốc - BigC Thăng Long,Cơm Thịt Heo Xào Kim Chi,78.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxg2hxulod5ac@resize_ss120x120!@crop_w120_h120_cT
Sariwon - Lẩu Nướng Hàn Quốc - BigC Thăng Long,Tokbokki Cơm Cuộn,78.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxg2ik1p70kfd@resize_ss120x120!@crop_w120_h120_cT
Sariwon - Lẩu Nướng Hàn Quốc - BigC Thăng Long,Cơm Gà Xào Nấm,68.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr2wufmb97esda@resize_ss120x120!@crop_w120_h120_cT
Sariwon - Lẩu Nướng Hàn Quốc - BigC Thăng Long,Cơm Cuộn Chiên Xù,68.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr2wuf3g0tcpe0@resize_ss120x120!@crop_w120_h120_cT
Deli 4B - BBQ & Hotpot - Võ Thị Sáu,Combo Lẩu 2-3 Người,199.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr2w5i3aogpl66@resize_ss120x120!@crop_w120_h120_cT
Deli 4B - BBQ & Hotpot - Võ Thị Sáu,Combo Lẩu 4-6 Người,499.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr2w5io3u0g41f@resize_ss120x120!@crop_w120_h120_cT
Deli 4B - BBQ & Hotpot - Võ Thị Sáu,Combo Lẩu 8-10 Người,799.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxe4vhai3kpf5@resize_ss120x120!@crop_w120_h120_cT
Deli 4B - BBQ & Hotpot - Võ Thị Sáu,Combo Nướng 2-3 Người,199.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxe4w2xmffd2c@resize_ss120x120!@crop_w120_h120_cT
Deli 4B - BBQ & Hotpot - Võ Thị Sáu,Combo Nướng 4-6 Người,499.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxe4wmmtlmsfc@resize_ss120x120!@crop_w120_h120_cT
Deli 4B - BBQ & Hotpot - Võ Thị Sáu,Kim Chi,29.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqn24i7chcfw9c@resize_ss120x120!@crop_w120_h120_cT
Deli 4B - BBQ & Hotpot - Võ Thị Sáu,Ba chỉ bò lẩu to,99.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxnqvyxz5qc80@resize_ss120x120!@crop_w120_h120_cT
Deli 4B - BBQ & Hotpot - Võ Thị Sáu,Khoai Lang chiên,15.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqn24i7chcfw9c@resize_ss120x120!@crop_w120_h120_cT
Deli 4B - BBQ & Hotpot - Võ Thị Sáu,Sườn Sụn To,69.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqn24i7chcfw9c@resize_ss120x120!@crop_w120_h120_cT
Deli 4B - BBQ & Hotpot - Võ Thị Sáu,Ba chỉ bò lẩu nhỏ,69.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxnquufmftl19@resize_ss120x120!@crop_w120_h120_cT
Rongu - Buffet Hotpot,Set Lẩu 159k,199.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqn24i7chcfw9c@resize_ss120x120!@crop_w120_h120_cT
Rongu - Buffet Hotpot,Set Lẩu 289k,289.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqn24i7chcfw9c@resize_ss120x120!@crop_w120_h120_cT
Rongu - Buffet Hotpot,Set Lẩu 399k,399.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqn24i7chcfw9c@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Tây Sơn,Lẩu cháo chim (4 người),695.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lv44rau231cq20@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Tây Sơn,Lẩu cháo chim (2 người),395.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lv44r09njpq126@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Tây Sơn,Lẩu cá lăng (4 người),655.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lv44tdjisql655@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Tây Sơn,Lẩu cá lăng (5 người),765.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lv44tnxtmeih30@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Tây Sơn,Lẩu Ếch (2-3 người),299.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-luk3zlpbgv0y7d@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Tây Sơn,Lẩu Ếch (4-5 người),499.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-luk43crvqaed41@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Tây Sơn,Lẩu riêu cua bắp bò sườn sụn (4 người),595.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lv44svfhoyvu17@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Tây Sơn,Lẩu riêu cua bắp bò sườn sụn (3 người),495.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lv44s6t9aebd1a@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Tây Sơn,Lẩu Thái (2 người),295.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-luk3szd06as284@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Tây Sơn,Lẩu Ếch (6 người),699.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-luk48c7t4yslec@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Dịch Vọng Hậu,Lẩu Cháo Chim Câu Set 2,695.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqx3xpfnif89f0@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Dịch Vọng Hậu,Lẩu Cá Măng Cay Set 1,655.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxvnz6iyz7o87@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Dịch Vọng Hậu,Lẩu Ếch cho 2-3 người,299.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-luk3zlpbgv0y7d@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Dịch Vọng Hậu,Lẩu Ếch cho 4-5 người,499.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-luk43crvqaed41@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Dịch Vọng Hậu,Lẩu Cá Măng Cay Set 2,765.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxvnzs63b2ce4@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Dịch Vọng Hậu,Lẩu Thái cho 2-3 người,295.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-luk3szd06as284@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Dịch Vọng Hậu,Lẩu Gà Ta 1/2 con,485.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqzqfaeqk3ic67@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Dịch Vọng Hậu,Lẩu Thái cho 3-4 người,665.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqx39lrt8al526@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Dịch Vọng Hậu,Lẩu Thái cho 5 người,795.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqx36ztspgp032@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Dịch Vọng Hậu,Lẩu Riêu Cua Thập Cẩm cho 3-4 người,495.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqx37247e9w913@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Đường Láng,Lẩu cháo chim (4 người),695.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqx3xpfnif89f0@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Đường Láng,Lẩu cháo chim (2 người),395.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqvxkfd9qsp0c8@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Đường Láng,Lẩu Ếch (2-3 người),299.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-luk3zlpbgv0y7d@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Đường Láng,Lẩu cá lăng (4 người),655.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxvnz6iyz7o87@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Đường Láng,Lẩu riêu cua bắp bò sườn sụn (3 người),495.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqn24i7chcfw9c@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Đường Láng,Lẩu riêu cua bắp bò sườn sụn (4 người),595.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqn24i7chcfw9c@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Đường Láng,Lẩu Ếch (4-5 người),499.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-luk43crvqaed41@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Đường Láng,Lẩu cá lăng (5 người),765.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxvnzs63b2ce4@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Đường Láng,Lẩu Thái (2 người),295.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-luk3szd06as284@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Đường Láng,Lẩu gà ta (4 người),695.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqzqfaeqk3ic67@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Trương Định,Lẩu Cháo Chim Câu Set 2,695.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqx3xpfnif89f0@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Trương Định,Lẩu Cháo Chim Câu Set 1,395.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqvxkfd9qsp0c8@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Trương Định,Lẩu Ếch cho 2-3 người,299.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-luk3zlpbgv0y7d@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Trương Định,Lẩu Thái cho 2-3 người,295.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-luk3szd06as284@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Trương Định,Lẩu Ếch cho 4-5 người,499.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-luk43crvqaed41@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Trương Định,Lẩu Cá Măng Cay Set 1,655.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxvnz6iyz7o87@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Trương Định,Lẩu Cá Măng Cay Set 2,765.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqxvnzs63b2ce4@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Trương Định,Lẩu Gà Ta 1/2 con,485.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqzqfaeqk3ic67@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Trương Định,Lẩu Thái cho 3-4 người,665.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqx39lrt8al526@resize_ss120x120!@crop_w120_h120_cT
Lẩu Đức Trọc - Trương Định,Lẩu Thái cho 5 người,795.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqx36ztspgp032@resize_ss120x120!@crop_w120_h120_cT
"Lẩu Nướng 23 Zô - Phở Tứ Hải, Cơm Văn Phòng & Cơm Gà - Triều Khúc",Bún Riêu Đặc Biệt,50.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqn24i7chcfw9c@resize_ss120x120!@crop_w120_h120_cT
"Lẩu Nướng 23 Zô - Phở Tứ Hải, Cơm Văn Phòng & Cơm Gà - Triều Khúc",Bún Riêu Đậu Bò Giò Ốc Mọc,40.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqn24i7chcfw9c@resize_ss120x120!@crop_w120_h120_cT
"Lẩu Nướng 23 Zô - Phở Tứ Hải, Cơm Văn Phòng & Cơm Gà - Triều Khúc",Bún riêu đậu tóp mỡ,40.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqn24i7chcfw9c@resize_ss120x120!@crop_w120_h120_cT
"Lẩu Nướng 23 Zô - Phở Tứ Hải, Cơm Văn Phòng & Cơm Gà - Triều Khúc",Bún Riêu Đậu Ốc,35.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqn24i7chcfw9c@resize_ss120x120!@crop_w120_h120_cT
